case,run_id,mu.post,sigma.post,pi,pj,mu,sigma,kl,map_mu,map_sig,mu_low,mu_hi,sig_low,sig_hi,pd_mu,ps_mu,pd_sig,ps_sig
1,1,0.363717560095992,2.83000270664136,1,1,0,3.16,0.592213673007489,0.434929681308113,2.81279840556609,-0.319615773237342,3.56333603997469,2.63000270664136,3.56333603997469,0.733,0.637,1,1
1,2,0.363717560095992,2.83000270664136,1,2,0,3.16,0.417280002001965,0.267774256088172,2.73997338112816,-0.286699106570674,3.79666937330803,2.33000270664136,3.79666937330803,0.751,0.659,1,1
1,3,0.363717560095992,3.06333603997469,1,3,0,3.16,0.62744139406168,0.533658909069599,3.12902518953481,-0.302949106570675,3.73000270664136,2.36333603997469,3.73000270664136,0.735,0.613,1,1
1,4,0.347050893429325,2.83000270664136,2,1,0,3.16,0.582488717984941,0.418311890496774,2.74143965678799,-0.302949106570675,3.53000270664136,2.63000270664136,3.53000270664136,0.728,0.609,1,1
1,5,0.347050893429325,2.83000270664136,2,2,0,3.16,0.514702102830267,0.42417699313607,2.87399097643608,-0.319615773237342,3.76333603997469,2.36250270664136,3.76333603997469,0.739,0.635,1,1
1,6,0.347050893429325,3.06333603997469,2,3,0,3.16,0.692112811715871,0.407559202324731,3.03997338112816,-0.319615773237342,3.73000270664136,2.36250270664136,3.73000270664136,0.738,0.638,1,1
1,7,0.147050893429325,2.83000270664136,3,1,0,3.16,0.692383240786721,0.182730267818377,2.96333603997469,-0.286282439904008,3.56416937330802,2.63000270664136,3.56416937330802,0.761,0.645,1,1
1,8,0.147050893429325,2.83000270664136,3,2,0,3.16,0.669555205495592,0.196415507310068,2.90732430976941,-0.302949106570675,3.83000270664136,2.33000270664136,3.83000270664136,0.743,0.631,1,1
1,9,0.147050893429325,3.06333603997469,3,3,0,3.16,0.988210564088123,0.117236621679569,2.9910975258007,-0.286699106570674,3.63000270664136,2.36333603997469,3.63000270664136,0.769,0.642,1,1
2,1,-0.543413266971664,1.81149364823101,1,1,0,1.78,0.414648593848969,-0.616727049962866,1.85362463552329,-1.326746600305,2.411493648231,1.54482698156434,2.411493648231,1,1,1,1
2,2,-0.543413266971664,1.81149364823101,1,2,0,1.78,0.572384086669439,-0.634322357880755,1.87297947423296,-1.276746600305,2.54482698156434,1.51149364823101,2.54482698156434,1,1,1,1
2,3,-0.543413266971664,1.911493648231,1,3,0,1.78,0.80154576791279,-0.645466052895418,1.90569371339881,-1.226746600305,2.44482698156434,1.51149364823101,2.44482698156434,1,1,1,1
2,4,-0.543413266971664,1.81149364823101,2,1,0,1.78,0.539362371254519,-0.612816981536669,1.87610752897392,-1.24382993363833,2.411493648231,1.54482698156434,2.411493648231,1,1,1,1
2,5,-0.543413266971664,1.81149364823101,2,2,0,1.78,0.963900445926657,-0.632807206365604,1.81403519270803,-1.27716326697167,2.54482698156434,1.51066031489768,2.54482698156434,1,1,1,1
2,6,-0.543413266971664,1.911493648231,2,3,0,1.78,0.606084387892371,-0.593396975019888,1.85971782548744,-1.326746600305,2.44482698156434,1.54482698156434,2.44482698156434,1,1,1,1
2,7,-0.643413266971664,1.81149364823101,3,1,0,1.78,0.447907549905961,-0.71335461594527,1.82625415653991,-1.26007993363833,2.411493648231,1.54482698156434,2.411493648231,1,1,1,1
2,8,-0.643413266971664,1.81149364823101,3,2,0,1.78,0.697942696059587,-0.723276414576746,1.85733920052817,-1.26007993363833,2.51232698156434,1.47816031489767,2.51232698156434,1,1,1,1
2,9,-0.660079933638331,1.911493648231,3,3,0,1.78,0.591019959421685,-0.647421087108516,1.96317171926391,-1.276746600305,2.47816031489767,1.54482698156434,2.47816031489767,1,1,1,1
3,1,0.0233936111208206,0.283407976584983,1,1,0,0.32,0.0182127121151287,0.0402394892570213,0.301677060469646,-0.0766063888791794,0.393911282477435,0.228385583609488,0.393911282477435,0.652,0.09,1,1
3,2,0.0233936111208206,0.283407976584983,1,2,0,0.32,0.0137255211050756,0.00672694445415412,0.301748774243481,-0.0932730555458461,0.393452762535973,0.246267861326524,0.393452762535973,0.683,0.08,1,1
3,3,0.0233936111208206,0.283407976584983,1,3,0,0.32,0.0115365740348105,0.0233447352654932,0.301838416460776,-0.0766063888791794,0.393452762535973,0.246726381267986,0.393452762535973,0.683,0.099,1,1
3,4,0.0233936111208206,0.283407976584983,2,1,0,0.32,0.0122718946295331,0.0402069053534694,0.283443833471901,-0.0766063888791794,0.393452762535973,0.246267861326524,0.393452762535973,0.677,0.069,1,1
3,5,0.0233936111208206,0.283407976584983,2,2,0,0.32,0.0188358418296807,0.00672694445415384,0.283300405924229,-0.0932730555458461,0.393911282477435,0.228385583609488,0.393911282477435,0.67,0.087,1,1
3,6,0.0233936111208206,0.283407976584983,2,3,0,0.32,0.0125982121066767,0.0234913628314753,0.283443833471901,-0.0766063888791794,0.393911282477435,0.246726381267986,0.393911282477435,0.667,0.087,1,1
3,7,0.0233936111208206,0.283407976584983,3,1,0,0.32,0.0147139040785408,0.0401580294981423,0.301838416460776,-0.0770230555458457,0.393452762535973,0.228385583609488,0.393452762535973,0.716,0.09,1,1
3,8,0.0233936111208206,0.283407976584983,3,2,0,0.32,0.0111004943391392,0.0564825651775167,0.301730845800023,-0.0766063888791794,0.411793560194471,0.246726381267986,0.411793560194471,0.723,0.121,1,1
3,9,0.0233936111208206,0.283407976584983,3,3,0,0.32,0.0224266531736583,0.0233121513619413,0.301659132026187,-0.0932730555458461,0.393452762535973,0.228385583609488,0.393452762535973,0.706,0.106,1,1
4,1,1.44841479582019,3.04297282549387,1,1,1,3.16,0.840174549215336,1.57730042631873,3.14610088023482,0.765081462486858,3.80963949216053,2.8763061588272,3.80963949216053,1,1,1,1
4,2,1.44841479582019,3.04297282549387,1,2,1,3.16,0.670537184835766,1.30555067069801,3.1524547414274,0.781748129153525,4.0763061588272,2.50963949216053,4.0763061588272,1,1,1,1
4,3,1.44841479582019,3.30963949216053,1,3,1,3.16,0.995117821790556,1.50691919464718,3.19204418424264,0.781748129153525,3.94297282549387,2.60963949216053,3.94297282549387,1,1,1,1
4,4,1.44841479582019,3.04297282549387,2,1,1,3.16,0.926748213652431,1.34269632074688,3.10113509333355,0.781748129153525,3.77713949216053,2.8763061588272,3.77713949216053,1,1,1,1
4,5,1.44841479582019,3.04297282549387,2,2,1,3.16,0.482990371013101,1.49518898936858,3.05079296234626,0.765081462486858,4.04297282549387,2.50963949216053,4.04297282549387,1,1,1,1
4,6,1.44841479582019,3.30963949216053,2,3,1,3.16,1.01906697702628,1.48150374987689,3.30885747847529,0.781331462486859,3.9763061588272,2.54297282549387,3.9763061588272,1,1,1,1
4,7,1.23174812915353,3.04297282549387,3,1,1,3.16,0.226121499293364,1.24103454166575,3.07669716566982,0.781748129153525,3.80963949216053,2.8763061588272,3.80963949216053,1,1,1,1
4,8,1.23174812915353,3.0763061588272,3,2,1,3.16,1.04797614542943,1.26644998643603,3.08598357818204,0.781748129153525,4.0763061588272,2.50963949216053,4.0763061588272,1,1,1,1
4,9,1.23174812915353,3.34297282549387,3,3,1,3.16,0.658987381674947,1.27915770882117,3.2059575110592,0.781748129153525,3.94297282549387,2.60963949216053,3.94297282549387,1,1,1,1
5,1,1.09685528529209,1.74982665045094,1,1,1,1.78,0.0730882971354907,1.12002244071731,1.81457086680806,0.463521951958754,2.14982665045094,1.41649331711761,2.14982665045094,1,1,1,1
5,2,1.09685528529209,1.74982665045094,1,2,1,1.78,0.288801441641971,1.09362947884047,1.77247246341933,0.430188618625421,2.38315998378427,1.44982665045094,2.38315998378427,1,1,1,1
5,3,1.09685528529209,1.68315998378427,1,3,1,1.78,0.19704529665192,1.05355127747195,1.72509546765524,0.463105285292088,2.28315998378427,1.44982665045094,2.28315998378427,1,1,1,1
5,4,1.09685528529209,1.74982665045094,2,1,1,1.78,0.273929050817591,1.04279858929991,1.79176213432191,0.430188618625421,2.14982665045094,1.41649331711761,2.14982665045094,1,1,1,1
5,5,1.09685528529209,1.74982665045094,2,2,1,1.78,0.315857334191253,1.07798920513568,1.75171651685694,0.480188618625421,2.3839933171176,1.41649331711761,2.3839933171176,1,1,1,1
5,6,1.09685528529209,1.68315998378427,2,3,1,1.78,0.160507594048103,0.996643489919001,1.693717168535,0.463521951958754,2.24982665045094,1.41649331711761,2.24982665045094,1,1,1,1
5,7,0.963521951958754,1.74982665045094,3,1,1,1.78,0.0966120483593153,1.01738314452962,1.74888171724794,0.496855285292088,2.14982665045094,1.41649331711761,2.14982665045094,1,1,1,1
5,8,0.963521951958754,1.74982665045094,3,2,1,1.78,0.209068372257093,0.971114001486287,1.73750993490841,0.463521951958754,2.41649331711761,1.41649331711761,2.41649331711761,1,1,1,1
5,9,0.963521951958754,1.68315998378427,3,3,1,1.78,0.229820914315091,0.981948149417209,1.73614141095925,0.480188618625421,2.24982665045094,1.44982665045094,2.24982665045094,1,1,1,1
6,1,1.00264018509426,0.328175194874367,1,1,1,0.32,0.0052336485433182,1.01935572761626,0.328175194874367,0.952640185094263,0.44226279231155,0.328175194874367,0.44226279231155,1,1,1,1
6,2,1.00264018509426,0.299653295515071,1,2,1,0.32,0.00357151349993221,0.986006102331148,0.299709056804141,0.952640185094263,0.413740892952254,0.242609496796479,0.413740892952254,1,1,1,1
6,3,1.00264018509426,0.299653295515071,1,3,1,0.32,0.00724115816011086,1.00273793680492,0.299653295515071,0.952640185094263,0.44226279231155,0.242609496796479,0.44226279231155,1,1,1,1
6,4,1.00264018509426,0.328175194874367,2,1,1,0.32,0.00389260807245323,0.986071270138251,0.328175194874367,0.952640185094263,0.44226279231155,0.328175194874367,0.44226279231155,1,1,1,1
6,5,1.00264018509426,0.299653295515071,2,2,1,0.32,0.00348551915474968,1.00273793680492,0.328175194874366,0.952640185094263,0.44226279231155,0.271131396155775,0.44226279231155,1,1,1,1
6,6,1.00264018509426,0.299653295515071,2,3,1,0.32,0.00265080830531172,0.985875766716942,0.328258836807971,0.952640185094263,0.414453940436236,0.242609496796479,0.414453940436236,1,1,1,1
6,7,1.00264018509426,0.328175194874367,3,1,1,0.32,0.00461733849866485,1.03590835062049,0.328175194874367,0.952640185094263,0.44226279231155,0.328175194874367,0.44226279231155,1,1,1,1
6,8,1.00264018509426,0.299653295515071,3,2,1,0.32,0.00515773056123127,0.986006102331148,0.328175194874367,0.952640185094263,0.413740892952254,0.271131396155775,0.413740892952254,1,1,1,1
6,9,1.00264018509426,0.299653295515071,3,3,1,0.32,0.00594338671566926,1.01920910005027,0.328119433585297,0.952640185094263,0.44226279231155,0.271131396155775,0.44226279231155,1,1,1,1
7,1,2.7084986758414,2.9349098281867,1,1,2,3.16,0.247774512583169,2.83039505902811,2.95543768742424,2.6084986758414,3.80157649485337,2.9349098281867,3.80157649485337,1,1,1,1
7,2,2.7084986758414,2.76824316152004,1,2,2,3.16,0.134561277667076,2.73362086547972,2.86110728664222,2.62516534250807,3.83574316152003,2.46824316152004,3.83574316152003,1,1,1,1
7,3,2.7084986758414,2.96824316152004,1,3,2,3.16,0.252795703544065,2.70820542070944,2.98388343522483,2.6084986758414,3.76907649485337,2.46824316152004,3.76907649485337,1,1,1,1
7,4,2.72516534250807,2.9349098281867,2,1,2,3.16,0.0859818102872065,2.76978899842205,3.02190885066959,2.62516534250807,3.76824316152004,2.9349098281867,3.76824316152004,1,1,1,1
7,5,2.72516534250807,2.76824316152004,2,2,2,3.16,0.118685955218941,2.76587892999585,2.78616430847344,2.62516534250807,3.76907649485337,2.4349098281867,3.76907649485337,1,1,1,1
7,6,2.72516534250807,2.96824316152004,2,3,2,3.16,0.356603839412779,2.74632858786486,3.06547352971815,2.6247486758414,3.76824316152004,2.50157649485337,3.76824316152004,1,1,1,1
7,7,3.1084986758414,2.9349098281867,3,1,2,3.16,0.283397319167353,3.09725722911608,2.97596554666177,2.6084986758414,3.80157649485337,2.9349098281867,3.80157649485337,1,1,1,1
7,8,3.07516534250807,2.80157649485337,3,2,2,3.16,0.192001455266764,3.07086426723925,2.92627509374552,2.62516534250807,3.76824316152004,2.46824316152004,3.76824316152004,1,1,1,1
7,9,3.1084986758414,3.00157649485337,3,3,2,3.16,0.144513641923618,2.86656319197043,3.02366838146138,2.62516534250807,3.76907649485337,2.5349098281867,3.76907649485337,1,1,1,1
8,1,2.09569370474782,1.64499726403258,1,1,2,1.78,0.0848021441842647,2.21846985333042,1.66878351362528,1.67902703808115,2.27833059736591,1.54499726403258,2.27833059736591,1,1,1,1
8,2,2.09569370474782,1.64499726403258,1,2,2,1.78,0.125164579221193,2.20967219937147,1.6593341815953,1.66236037141449,2.27916393069924,1.34416393069925,2.27916393069924,1,1,1,1
8,3,2.09569370474782,1.71166393069925,1,3,2,1.78,0.13753814613863,2.07086477024146,1.68442378733007,1.66236037141449,2.27833059736591,1.41166393069925,2.27833059736591,1,1,1,1
8,4,2.09569370474782,1.64499726403258,2,1,2,1.78,0.0487670498633356,2.12658324531478,1.64327031714434,1.67902703808115,2.27833059736591,1.54499726403258,2.27833059736591,1,1,1,1
8,5,2.09569370474782,1.64499726403258,2,2,2,1.78,0.0837624904429847,2.08846007815935,1.68377210925904,1.67902703808115,2.31166393069925,1.34499726403258,2.31166393069925,1,1,1,1
8,6,2.09569370474782,1.71166393069925,2,3,2,1.78,0.0722279729889282,2.08846007815935,1.74017484630693,1.67861037141448,2.27833059736591,1.41166393069925,2.27833059736591,1,1,1,1
8,7,2.12902703808115,1.64499726403258,3,1,2,1.78,0.0239222067663724,2.12853827952788,1.76982619853893,1.67902703808115,2.27833059736591,1.54499726403258,2.27833059736591,1,1,1,1
8,8,2.12902703808115,1.64499726403258,3,2,2,1.78,0.0909338180205662,2.06793221892181,1.63916474529684,1.67902703808115,2.24499726403258,1.34499726403258,2.24499726403258,1,1,1,1
8,9,2.12902703808115,1.71166393069925,3,3,2,1.78,0.0382100265171286,2.12853827952788,1.68872486259889,1.67902703808115,2.24499726403258,1.34499726403258,2.24499726403258,1,1,1,1
9,1,2.27173877089943,0.355140331280826,1,1,2,0.32,0.00161378447492017,,,,,,,,,,
9,2,2.27173877089943,0.406168397536992,1,2,2,0.32,,,,,,,,,,,
9,3,2.27173877089943,0.406168397536992,1,3,2,0.32,,,,,,,,,,,
9,4,2.27173877089943,0.355140331280826,2,1,2,0.32,,,,,,,,,,,
9,5,2.27173877089943,0.406168397536992,2,2,2,0.32,,,,,,,,,,,
9,6,2.27173877089943,0.406168397536992,2,3,2,0.32,,,,,,,,,,,
9,7,2.27173877089943,0.355140331280826,3,1,2,0.32,,,,,,,,,,,
9,8,2.27173877089943,0.406168397536992,3,2,2,0.32,,,,,,,,,,,
9,9,2.27173877089943,0.406168397536992,3,3,2,0.32,,,,,,,,,,,
